滨州市 惠民县,371621
平顶山市 叶县,410422
株洲市 石峰区,430204
沧州市 青县,130922
金华市 武义县,330723
张家界市 桑植县,430822
昭通市 绥江县,530626
固原市 彭阳县,640425
济南市 天桥区,370105
信阳市 罗山县,411521
衡阳市 雁峰区,430406
南平市 延平区,350702
宜宾市 筠连县,511527
大兴安岭地区 呼玛县,232721
抚州市 黎川县,361022
广安市 岳池县,511621
长治市 平顺县,140425
阜阳市 颍泉区,341204
昆明市 盘龙区,530103
来宾市 金秀瑶族自治县,451324
大连市 庄河市,210283
宜春市 丰城市,360981
淮南市 八公山区,340405
克拉玛依市 独山子区,650202
省直辖行政单位 南沙群岛,469038
淮安市 洪泽县,320829
黑河市 北安市,231181
商洛市 山阳县,611024
渭南市 富平县,610528
巴中市 巴州区,511902
阿坝藏族羌族自治州 黑水县,513228
咸宁市 咸安区,421202
周口市 淮阳县,411626
安康市 汉阴县,610921
漳州市 华安县,350629
日喀则地区 康马县,542331
江门市 江海区,440704
营口市 鲅鱼圈区,210804
阿克苏地区 新和县,652925
天津市 蓟县,120225
淮北市 相山区,340603
甘孜藏族自治州 理塘县,513334
韶关市 曲江县,440221
郑州市 管城回族区,410104
丹东市 宽甸满族自治县,210624
吉林市 磐石市,220284
遵义市 务川仡佬族苗族自治县,520326
淄博市 沂源县,370323
南充市 蓬安县,511323
锡林郭勒盟 苏尼特右旗,152524
新乡市 获嘉县,410724
海南藏族自治州 共和县,632521
重庆市 黔江区,500114
沧州市 运河区,130903
杭州市 萧山区,330109
商丘市 柘城县,411424
贵阳市 白云区,520113
衡水市 安平县,131125
张家界市 慈利县,430821
武汉市 乔口区,420104
衢州市 龙游县,330825
滨州市 沾化县,371624
岳阳市 岳阳楼区,430602
重庆市 江津市,500381
成都市 都江堰市,510181
淄博市 博山区,370304
本溪市 桓仁满族自治县,210522
内江市 威远县,511024
成都市 双流县,510122
揭阳市 榕城区,445202
阿克苏地区 柯坪县,652929
银川市 金凤区,640106
黄冈市 英山县,421124
渭南市 华县,610521
红河哈尼族彝族自治州 红河县,532529
邵阳市 大祥区,430503
茂名市 化州市,440982
榆林市 府谷县,610822
岳阳市 岳阳县,430621
保定市 唐县,130627
伊春市 带岭区,230713
唐山市 古冶区,130204
桂林市 七星区,450305
河池市 南丹县,451221
临汾市 隰县,141031
忻州市 定襄县,140921
青岛市 即墨市,370282
重庆市 忠县,500233
宝鸡市 金台区,610303
梅州市 丰顺县,441423
钦州市 钦北区,450703
唐山市 路南区,130202
攀枝花市 米易县,510421
伊春市 金山屯区,230709
黔西南布依族苗族自治州 册亨县,522327
襄樊市 南漳县,420624
周口市 沈丘县,411624
台州市 温岭市,331081
文山壮族苗族自治州 文山县,532621
德阳市 罗江县,510626
喀什地区 泽普县,653124
台州市 临海市,331082
驻马店市 确山县,411725
榆林市 绥德县,610826
红河哈尼族彝族自治州 屏边苗族自治县,532523
省直辖行政单位 琼海市,469002
昌都地区 江达县,542122
桂林市 秀峰区,450302
丽水市 庆元县,331126
湘潭市 湘潭县,430321
阿里地区 噶尔县,542523
延安市 宜川县,610630
鸡西市 城子河区,230306
大理白族自治州 永平县,532928
陇南地区 西和县,622627
那曲地区 班戈县,542428
重庆市 万州区,500101
普洱市 孟连傣族拉祜族佤族自治县,530827
吕梁市 石楼县,141126
襄樊市 老河口市,420682
苏州市 虎丘区,320505
甘孜藏族自治州 稻城县,513337
普洱市 景东彝族自治县,530823
孝感市 云梦县,420923
聊城市 冠县,371525
柳州市 三江侗族自治县,450226
兴安盟 阿尔山市,152202
商丘市 睢县,411422
拉萨市 堆龙德庆县,540125
焦作市 温县,410825
怀化市 洪江市,431281
乌兰察布市 察哈尔右翼后旗,150928
运城市 平陆县,140829
枣庄市 薛城区,370403
南京市 玄武区,320102
伊春市 翠峦区,230706
衡水市 枣强县,131121
南通市 港闸区,320611
绵阳市 盐亭县,510723
鹤壁市 浚县,410621
大理白族自治州 鹤庆县,532932
凉山彝族自治州 金阳县,513430
北京市 石景山区,110107
西宁市 城北区,630105
衡水市 武强县,131123
武汉市 东西湖区,420112
海北藏族自治州 门源回族自治县,632221
贵阳市 息烽县,520122
衡水市 饶阳县,131124
东营市 广饶县,370523
聊城市 东昌府区,371502
阿勒泰地区 哈巴河县,654324
营口市 盖州市,210881
长沙市 岳麓区,430104
锡林郭勒盟 阿巴嘎旗,152522
宁波市 镇海区,330211
南阳市 邓州市,411381
省直辖行政单位 文昌市,469005
绥化市 明水县,231225
安阳市 滑县,410526
河池市 天峨县,451222
盐城市 射阳县,320924
天津市 塘沽区,120107
南通市 如皋市,320682
宣城市 绩溪县,341824
石家庄市 元氏县,130132
甘孜藏族自治州 丹巴县,513323
滁州市 琅琊区,341102
南京市 浦口区,320111
红河哈尼族彝族自治州 弥勒县,532526
安阳市 林州市,410581
绥化市 庆安县,231224
丽水市 莲都区,331102
潍坊市 昌邑市,370786
吐鲁番地区 托克逊县,652123
双鸭山市 尖山区,230502
安顺市 平坝县,520421
果洛藏族自治州 甘德县,632623
湘西土家族苗族自治州 古丈县,433126
沧州市 南皮县,130927
宁波市 鄞州区,330212
重庆市 大渡口区,500104
南宁市 江南区,450105
邵阳市 绥宁县,430527
宿州市 泗县,341324
张家口市 涿鹿县,130731
阿克苏地区 沙雅县,652924
榆林市 佳县,610828
重庆市 双桥区,500111
鸡西市 密山市,230382
漳州市 龙海市,350681
德州市 平原县,371426
邵阳市 邵阳县,430523
忻州市 五寨县,140928
连云港市 连云区,320703
乌海市 海南区,150303
邵阳市 洞口县,430525
孝感市 孝昌县,420921
北京市 通州区,110112
铜仁地区 石阡县,522224
大连市 旅顺口区,210212
肇庆市 广宁县,441223
深圳市 南山区,440305
齐齐哈尔市 讷河市,230281
开封市 龙亭区,410202
来宾市 兴宾区,451302
双鸭山市 宝山区,230506
菏泽市 巨野县,371724
嘉兴市 桐乡市,330483
福州市 福清市,350181
萍乡市 上栗县,360322
济南市 长清区,370113
大理白族自治州 宾川县,532924
遂宁市 蓬溪县,510921
河源市 和平县,441624
常德市 石门县,430726
金华市 磐安县,330727
眉山市 青神县,511425
石家庄市 灵寿县,130126
长治市 潞城市,140481
大同市 左云县,140226
山南地区 曲松县,542226
百色市 乐业县,451028
昌都地区 类乌齐县,542124
博尔塔拉蒙古自治州 博乐市,652701
攀枝花市 盐边县,510422
安阳市 汤阴县,410523
大连市 西岗区,210203
湘潭市 湘乡市,430381
上饶市 广丰县,361122
哈尔滨市 巴彦县,230126
南通市 启东市,320681
乐山市 犍为县,511123
连云港市 东海县,320722
安顺市 普定县,520422
阳江市 江城区,441702
赣州市 定南县,360728
阿里地区 改则县,542526
郑州市 中原区,410102
文山壮族苗族自治州 西畴县,532623
济南市 平阴县,370124
齐齐哈尔市 梅里斯达斡尔族区,230208
台州市 仙居县,331024
温州市 瑞安市,330381
黔西南布依族苗族自治州 普安县,522323
乌兰察布市 集宁区,150902
汉中市 西乡县,610724
濮阳市 范县,410926
淮南市 凤台县,340421
枣庄市 峄城区,370404
来宾市 象州县,451322
乌海市 乌达区,150304
酒泉市 金塔县,620921
宣城市 泾县,341823
娄底市 双峰县,431321
鄂州市 华容区,420703
喀什地区 巴楚县,653130
阿克苏地区 拜城县,652926
柳州市 鹿寨县,450223
惠州市 惠城区,441302
乌兰察布市 四子王旗,150929
果洛藏族自治州 班玛县,632622
